typeCompteId,qualiteCompte
1,1
2,1
3,1
4,1
5,6
6,6
7,7
8,7
9,1
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,2
24,7
25,5
26,4
27,3
28,1
29,7
30,1
31,1
32,2
33,2
34,7
35,5
36,7
37,2
38,6
39,7
40,7
41,4
42,7
43,3
44,7
45,7
46,6
47,7
48,7
49,7
50,7
51,1
52,3
53,4
54,3
55,4
56,5
57,7
58,7
59,7
60,7
61,7
62,7
63,1
64,2
65,7
66,7
67,7
1014,1
1015,7
1016,1
1017,2
1020,7
1021,7
1030,7
1031,7
1032,7
1037,6
1040,7
1041,7
1042,7
1050,7
1051,7
1053,7
1054,7
1059,7
1070,7
1071,7
1073,7
1075,7
1076,7
1080,7
1082,7
1089,7
1099,7
1110,1
1111,1
1112,1
1113,2
1114,2
1115,2
1116,2
